Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
0.0,-9.710995236267613e-9,-9.710995236267613e-9,2.1073424255447017e-8,2.1073424255447017e-8,0.0,1.18,0.0,1.18,0.21916919708029195
0.02,-0.015135690794797475,-0.015135690794797475,0.03284557857424503,0.03284557857424503,0.0,1.18,0.0,1.1799882672686206,0.21913756645251778
0.04,-0.03006648998658867,-0.03006648998658867,0.06524798834363292,0.06524798834363292,0.0,1.18,0.0,1.1799190806028574,0.21904438433285875
0.06,-0.044790594585628535,-0.044790594585628535,0.0972046684493419,0.0972046684493419,0.0,1.18,0.0,1.1797912046240122,0.21889221536681006
0.08,-0.05930611296975643,-0.05930611296975643,0.12871275460302586,0.12871275460302586,0.0,1.18,0.0,1.179634042141814,0.21868362419986692
0.1,-0.07361106203286091,-0.07361106203286091,0.15976907745227312,0.15976907745227312,0.0,1.18,0.0,1.1794791744354183,0.21842117547752452
0.12,-0.08770336437634356,-0.08770336437634356,0.19037016041218868,0.19037016041218868,0.0,1.18,0.0,1.1793485299198372,0.21810743384527806
0.14,-0.10158084551420851,-0.10158084551420851,0.22051221695905485,0.22051221695905485,0.0,1.18,0.0,1.179252370695685,0.21774496394862275
0.16,-0.1152412310634061,-0.1152412310634061,0.25019114737873327,0.25019114737873327,0.0,1.18,0.0,1.1791917950837907,0.2173363304330538
0.18,-0.12868214389155316,-0.12868214389155316,0.27940253495897815,0.27940253495897815,0.0,1.18,0.0,1.1791624212385403,0.21688409794406638
0.2,-0.1419011011942602,-0.1419011011942602,0.3081416416112944,0.3081416416112944,0.0,1.18,0.0,1.1791575768953673,0.21639083112715574
0.22,-0.15489551147389133,-0.15489551147389133,0.3364034029040307,0.3364034029040307,0.0,1.18,0.0,1.1791704311596356,0.21585909462781708
0.24,-0.16766267139083318,-0.16766267139083318,0.3641824224843445,0.3641824224843445,0.0,1.18,0.0,1.1791951024736633,0.21529145309154554
0.26,-0.18019976245711578,-0.18019976245711578,0.3914729658621381,0.3914729658621381,0.0,1.18,0.0,1.1792270213238216,0.21469047116383638
0.28,-0.19250384754060507,-0.19250384754060507,0.4182689535241881,0.4182689535241881,0.0,1.18,0.0,1.1792628633198925,0.2140587134901848
0.3,-0.20457186714592845,-0.20457186714592845,0.4445639533413463,0.4445639533413463,0.0,1.18,0.0,1.1793002984682155,0.21339874471608597
0.32,-0.2164006354357183,-0.2164006354357183,0.4703511722256201,0.4703511722256201,0.0,1.18,0.0,1.1793377089328694,0.21271312948703514
0.34,-0.22798683595283312,-0.22798683595283312,0.49562344698751243,0.49562344698751243,0.0,1.18,0.0,1.1793739495472895,0.21200443244852749
0.36,-0.23932701700060335,-0.23932701700060335,0.5203732343364015,0.5203732343364015,0.0,1.18,0.0,1.179408173590988,0.2112752182460582
0.38,-0.25041758663413904,-0.25041758663413904,0.5445925999585988,0.5445925999585988,0.0,1.18,0.0,1.179439718699306,0.2105280515251225
0.4,-0.26125480721102207,-0.26125480721102207,0.5682732065983048,0.5682732065983048,0.0,1.18,0.0,1.1794680372079147,0.20976549693121557
0.42,-0.2718347894443503,-0.2718347894443503,0.5914063010561125,0.5914063010561125,0.0,1.18,0.0,1.1794926544955797,0.20899011910983264
0.44,-0.28215348589502376,-0.28215348589502376,0.6139827000077529,0.6139827000077529,0.0,1.18,0.0,1.179513142466706,0.2082044827064689
0.46,-0.29220668383322,-0.29220668383322,0.6359927745321032,0.6359927745321032,0.0,1.18,0.0,1.1795290998174395,0.20741115236661953
0.48,-0.3019899973911452,-0.3019899973911452,0.657426433221907,0.657426433221907,0.0,1.18,0.0,1.1795401345041372,0.20661269273577978
0.5,-0.31149885892022144,-0.31149885892022144,0.6782731037328361,0.6782731037328361,0.0,1.18,0.0,1.1795458463715784,0.20581166845944482
0.52,-0.32072850945570686,-0.32072850945570686,0.6985217126060257,0.6985217126060257,0.0,1.18,0.0,1.179545809295525,0.20501064418310985
0.54,-0.32967398818019167,-0.32967398818019167,0.7181606631756471,0.7181606631756471,0.0,1.18,0.0,1.1795395527736068,0.2042121845522701
0.56,-0.33833012076423463,-0.33833012076423463,0.7371778113458763,0.7371778113458763,0.0,1.18,0.0,1.1795265429985728,0.20341885421242073
0.58,-0.3466915064472781,-0.3466915064472781,0.7555604389900199,0.7555604389900199,0.0,1.18,0.0,1.179506163331263,0.20263321780905702
0.6,-0.3547525037046857,-0.3547525037046857,0.7732952246879957,0.7732952246879957,0.0,1.18,0.0,1.1794776939266172,0.20185783998767406
0.62,-0.36250721432674216,-0.36250721432674216,0.7903682114756263,0.7903682114756263,0.0,1.18,0.0,1.1794402901484522,0.20109528539376714
0.64,-0.3699494657123464,-0.3699494657123464,0.8067647712293157,0.8067647712293157,0.0,1.18,0.0,1.1793929593810422,0.20034811867283145
0.66,-0.3770727911532514,-0.3770727911532514,0.8224695652511578,0.8224695652511578,0.0,1.18,0.0,1.1793345359189367,0.19961890447036215
0.68,-0.3838704078532954,-0.3838704078532954,0.8374665005506232,0.8374665005506232,0.0,1.18,0.0,1.1792636537730405,0.19891020743185447
0.7,-0.3903351923902057,-0.3903351923902057,0.8517386812376062,0.8517386812376062,0.0,1.18,0.0,1.1791787174105965,0.19822459220280364
0.72,-0.39645965328403815,-0.39645965328403815,0.8652683543451364,0.8652683543451364,0.0,1.18,0.0,1.1790778705203582,0.19756462342870482
0.74,-0.4022359002846673,-0.4022359002846673,0.8780368492851722,0.8780368492851722,0.0,1.18,0.0,1.1789589626346828,0.19693286575505323
0.76,-0.4076556099291302,-0.4076556099291302,0.8900245100036055,0.8900245100036055,0.0,1.18,0.0,1.1788195125107115,0.1963318838273441
0.78,-0.4127099868456596,-0.4127099868456596,0.9012106187356597,0.9012106187356597,0.0,1.18,0.0,1.1786566651688142,0.1957642422910726
0.8,-0.4173897201920089,-0.4173897201920089,0.9115733100639549,0.9115733100639549,0.0,1.18,0.0,1.1784671360815206,0.19523250579173387
0.82,-0.4216849345073051,-0.4216849345073051,0.9210894737402482,0.9210894737402482,0.0,1.18,0.0,1.1782471312564733,0.19473923897482326
0.84,-0.4255851341243577,-0.4255851341243577,0.9297346444378453,0.9297346444378453,0.0,1.18,0.0,1.1779922268036938,0.19428700648583586
0.86,-0.4290791401267948,-0.4290791401267948,0.937482876241328,0.937482876241328,0.0,1.18,0.0,1.1776971885165393,0.1938783729702669
0.88,-0.43215501863444317,-0.43215501863444317,0.9443065992359682,0.9443065992359682,0.0,1.18,0.0,1.177355715742327,0.19351590307361158
