label,seed,success,cost,time_s
ns50_lam1,1,true,53.06739200446654,1.5197556
ns50_lam1,2,true,71.43219810461879,0.0011471
ns50_lam1,3,true,64.38047947171063,0.0007673
ns50_lam1,4,true,35.06648880809254,0.0010695
ns50_lam1,5,true,68.62276434152365,0.000785
ns200_lam1,1,true,55.72709761434167,0.0112835
ns200_lam1,2,true,77.80238767445024,0.0116661
ns200_lam1,3,true,61.1313235850007,0.0163001
ns200_lam1,4,true,80.98821786745785,0.0145082
ns200_lam1,5,true,64.83507586744017,0.012933
ns50_lam50,1,false,169.94622531789304,0.0075532
ns50_lam50,2,false,259.4273558617767,0.0079449
ns50_lam50,3,false,168.9744588731881,0.0038831
ns50_lam50,4,false,225.4165211665659,0.0075125
ns50_lam50,5,false,157.05390087215162,0.0052471
ns200_lam50,1,false,168.1565086148183,0.0219896
ns200_lam50,2,false,205.57412917495319,0.0204869
ns200_lam50,3,false,200.29626762584823,0.0192385
ns200_lam50,4,false,180.5278956402562,0.0223344
ns200_lam50,5,false,177.71986060799145,0.01526
