label,seed,success,cost,ess,time_s
closure_lam1,1,true,26.348006271471107,1.3441211122742636,1.4587343
closure_lam1,2,true,50.540437908015946,1.0000405317122036,0.0032292
closure_lam1,3,true,52.57198458276098,1.000002335147564,0.0035087
closure_lam1,4,true,28.49345092614739,1.0000196548154823,0.0037948
closure_lam1,5,true,10.189167350948729,1.0000000000000497,0.0021997
closure_lam1,6,true,61.27594860133196,1.0,0.0021925
closure_lam1,7,true,45.64428852331095,1.0421534167416253,0.0021019
closure_lam1,8,true,64.04021416002028,1.0,0.0021426
closure_lam1,9,true,16.17951973002741,1.0000000001280482,0.0024239
closure_lam1,10,true,45.10034799154932,1.0,0.0018877
stage_lam1,1,true,26.990337612825275,1.0,0.8775829
stage_lam1,2,true,98.15959134180446,1.0000654220860772,0.0012174
stage_lam1,3,true,52.57198458276098,1.000002335147564,0.0014984
stage_lam1,4,true,76.11249857212677,1.0000196576060059,0.0025235
stage_lam1,5,true,10.189167350948727,1.0000000000000497,0.0016401
stage_lam1,6,true,61.27594860133196,1.0,0.0016588
stage_lam1,7,true,45.66080912165192,1.0,0.0014947
stage_lam1,8,true,111.45755111218917,1.2050508769977062,0.001706
stage_lam1,9,true,16.179519730027398,1.0000000001280478,0.0019861
stage_lam1,10,true,45.10034799154931,1.0,0.0017377
stage_ess,1,true,88.50214792690892,15.0,0.0053691
stage_ess,2,true,107.21098827333006,15.000000000000007,0.0044791
stage_ess,3,true,18.13146865048002,15.000000000000009,0.0078749
stage_ess,4,true,91.22764993048753,14.999999999999996,0.0054105
stage_ess,5,true,115.04857791256168,15.0,0.0050228
stage_ess,6,true,104.80543872951654,15.000000000000021,0.0047108
stage_ess,7,true,2.1362395212841476,14.999999999999996,0.0066707
stage_ess,8,true,109.10926277359155,15.000000000000004,0.008933
stage_ess,9,true,108.19607834991086,15.000000000000004,0.0598583
stage_ess,10,true,37.089761771523214,15.0,0.0057818
stage_ess_anti,1,true,37.35624880605844,14.999999999999995,0.0034013
stage_ess_anti,2,true,38.82538487291813,14.999999999999984,0.0026786
stage_ess_anti,3,true,4.325546819318891,14.999999999999996,0.0028077
stage_ess_anti,4,true,94.69511435828623,15.000000000000004,0.0024487
stage_ess_anti,5,true,4.3089232991294635,14.999999999999996,0.0041682
stage_ess_anti,6,true,87.95909854780268,15.0,0.009086
stage_ess_anti,7,true,99.47924806765684,15.000000000000004,0.0076808
stage_ess_anti,8,true,120.86048433832893,14.999999999999988,0.0063068
stage_ess_anti,9,true,27.71600259552395,14.999999999999996,0.0051733
stage_ess_anti,10,true,9.904558226057546,15.000000000000004,0.0303161
cem,1,true,20.2194058618916,1.0336415450276482,0.0065622
cem,2,true,29.782592327224545,1.108513937642253,0.0025682
cem,3,true,14.265059193196473,1.0515525356956141,0.0052265
cem,4,true,20.444715214193998,1.0000000001883493,0.0022945
cem,5,true,43.73417960981802,1.014265479129593,0.002337
cem,6,true,83.11619215943783,1.000000000047943,0.002163
cem,7,true,87.56204247288531,1.6741913613650319,0.00276
cem,8,true,32.622313880269154,1.0013224932305418,0.0028111
cem,9,true,31.611549928817308,1.825850104151837,0.0029701
cem,10,true,31.032746340939617,1.0000000004810272,0.0038469
