label,seed,success,entry_area,certified_frac,handoff_frac,cert_time_s,gen_success
int_backward,1,true,0.38484433037944005,1.0,NaN,91.16700005531311,true
int_backward,2,true,0.3848443303503308,1.0,NaN,0.6630001068115234,true
int_backward,3,true,0.3848443303963838,1.0,NaN,0.6609997749328613,true
int_backward,4,true,0.3848443303694887,1.0,NaN,0.628000020980835,true
int_backward,5,true,0.3848443302914943,1.0,NaN,0.6990001201629639,true
int_backward,6,true,0.3848443303661269,1.0,NaN,0.6489999294281006,true
int_backward,7,true,0.3848443303679314,1.0,NaN,0.7149999141693115,true
int_backward,8,true,0.38484433034719856,1.0,NaN,0.7039999961853027,true
int_fwd_fixed,1,true,0.015707963267948852,1.0,NaN,8.046000003814697,true
int_fwd_fixed,2,true,0.015707963267948852,1.0,NaN,0.6540000438690186,true
int_fwd_fixed,3,true,0.015707963267948852,1.0,NaN,0.7179999351501465,true
int_fwd_fixed,4,true,0.015707963267948852,1.0,NaN,0.7150001525878906,true
int_fwd_fixed,5,true,0.015707963267948852,1.0,NaN,0.6440000534057617,true
int_fwd_fixed,6,true,0.015707963267948852,1.0,NaN,0.8559999465942383,true
int_fwd_fixed,7,false,0.015707963267948852,0.55,NaN,0.44700002670288086,true
int_fwd_fixed,8,true,0.015707963267948852,1.0,NaN,0.7050001621246338,true
int_fwd_free,1,false,0.015707963267948852,0.7,NaN,5.083999872207642,true
int_fwd_free,2,true,0.015707963267948852,1.0,NaN,0.812000036239624,true
int_fwd_free,3,false,0.015707963267948852,0.0,NaN,0.04800009727478027,true
int_fwd_free,4,false,0.015707963267948852,0.95,NaN,0.4939999580383301,true
int_fwd_free,5,true,0.015707963267948852,1.0,NaN,0.4890000820159912,true
int_fwd_free,6,true,0.015707963267948852,1.0,NaN,0.5909998416900635,true
int_fwd_free,7,false,0.015707963267948852,1.0,NaN,0.8640000820159912,true
int_fwd_free,8,true,0.015707963267948852,1.0,NaN,0.7640001773834229,true
int_bidir,1,true,0.015707963267948852,1.0,0.047619047619047616,1.0099999904632568,true
int_bidir,2,true,0.015707963267948852,1.0,0.047619047619047616,1.3320000171661377,true
int_bidir,3,true,0.015707963267948852,1.0,0.047619047619047616,1.304999828338623,true
int_bidir,4,true,0.015707963267948852,1.0,0.047619047619047616,1.2800002098083496,true
int_bidir,5,true,0.015707963267948852,1.0,0.047619047619047616,1.3659999370574951,true
int_bidir,6,true,0.015707963267948852,1.0,0.047619047619047616,1.3350000381469727,true
int_bidir,7,true,0.015707963267948852,1.0,0.047619047619047616,1.1409997940063477,true
int_bidir,8,true,0.015707963267948852,1.0,0.047619047619047616,1.2850000858306885,true
pend_backward,1,true,0.003635994515816611,1.0,NaN,33.834999799728394,true
pend_backward,2,true,0.003607254133453816,1.0,NaN,20.11899995803833,true
pend_backward,3,true,0.0036626461514185447,1.0,NaN,21.598000049591064,true
pend_backward,4,true,0.003690940025787771,1.0,NaN,21.746999979019165,true
pend_backward,5,true,0.0036300381886185027,1.0,NaN,21.38700008392334,true
pend_backward,6,true,0.003529731519108429,1.0,NaN,20.516000032424927,true
pend_backward,7,true,0.0037139073078325344,1.0,NaN,21.157999992370605,true
pend_backward,8,true,0.003614476966225117,1.0,NaN,19.59500002861023,true
pend_fwd_fixed,1,false,0.6305580589584873,0.0,NaN,0.7009999752044678,true
pend_fwd_fixed,2,false,0.6305580589584873,0.0,NaN,0.032000064849853516,true
pend_fwd_fixed,3,false,0.6305580589584873,0.011111111111111112,NaN,0.12800002098083496,true
pend_fwd_fixed,4,false,0.6305580589584873,0.022222222222222223,NaN,0.1119999885559082,true
pend_fwd_fixed,5,false,0.6305580589584873,0.011111111111111112,NaN,0.06400012969970703,true
pend_fwd_fixed,6,false,0.6305580589584873,0.011235955056179775,NaN,0.07999992370605469,true
pend_fwd_fixed,7,false,0.6305580589584873,0.0,NaN,0.029999971389770508,true
pend_fwd_fixed,8,false,0.6305580589584873,0.0,NaN,0.04900002479553223,true
pend_fwd_free,1,false,0.6305580589584873,0.0,NaN,0.2220001220703125,true
pend_fwd_free,2,false,0.6305580589584873,0.0,NaN,0.03699994087219238,true
pend_fwd_free,3,false,0.6305580589584873,0.0,NaN,0.026000022888183594,true
pend_fwd_free,4,false,0.6305580589584873,0.0,NaN,0.051000118255615234,true
pend_fwd_free,5,false,0.6305580589584873,0.0,NaN,0.042999982833862305,true
pend_fwd_free,6,false,0.6305580589584873,0.0,NaN,0.03600001335144043,true
pend_fwd_free,7,false,0.6305580589584873,0.0,NaN,0.04200005531311035,true
pend_fwd_free,8,false,0.6305580589584873,0.0,NaN,0.03800010681152344,true
pend_bidir,1,false,NaN,1.0,NaN,18.55999994277954,true
pend_bidir,2,false,NaN,1.0,NaN,19.85599994659424,true
pend_bidir,3,false,NaN,1.0,NaN,21.305000066757202,true
pend_bidir,4,false,NaN,1.0,NaN,20.348999977111816,true
pend_bidir,5,false,NaN,1.0,NaN,21.151000022888184,true
pend_bidir,6,false,NaN,1.0,NaN,21.256999969482422,true
pend_bidir,7,false,NaN,1.0,NaN,20.758999824523926,true
pend_bidir,8,false,NaN,1.0,NaN,20.838000059127808,true
pend_fwd_fix_s25,1,false,0.034269459726004724,0.02247191011235955,NaN,0.09599995613098145,true
pend_fwd_fix_s25,2,false,0.034269459726004724,0.022222222222222223,NaN,0.1119999885559082,true
pend_fwd_fix_s25,3,false,0.034269459726004724,0.022222222222222223,NaN,0.0969998836517334,true
pend_fwd_fix_s25,4,false,0.034269459726004724,0.03333333333333333,NaN,0.125,true
pend_fwd_fix_s25,5,false,0.034269459726004724,0.022222222222222223,NaN,0.12800002098083496,true
pend_fwd_fix_s25,6,false,0.034269459726004724,0.011235955056179775,NaN,0.06400012969970703,true
pend_fwd_fix_s25,7,false,0.034269459726004724,0.022222222222222223,NaN,0.11299991607666016,true
pend_fwd_fix_s25,8,false,0.034269459726004724,0.03333333333333333,NaN,0.14400005340576172,true
pend_bidir_s25,1,false,NaN,1.0,NaN,21.421000003814697,true
pend_bidir_s25,2,false,NaN,1.0,NaN,21.573999881744385,true
pend_bidir_s25,3,false,NaN,1.0,NaN,21.505000114440918,true
pend_bidir_s25,4,false,NaN,1.0,NaN,21.16100001335144,true
pend_bidir_s25,5,false,NaN,1.0,NaN,21.370999813079834,true
pend_bidir_s25,6,false,NaN,1.0,NaN,20.841000080108643,true
pend_bidir_s25,7,false,NaN,1.0,NaN,21.61400008201599,true
pend_bidir_s25,8,false,NaN,1.0,NaN,21.503000020980835,true
