label,seed,success,gen_success,V0,Vmin,Vmed,coverage,chain_frac,cert_time_s
fixed_vert_maximin,1,true,true,0.003635994515816611,0.003635994515816611,0.006912850188269606,231.37590403206417,1.0,137.31399989128113
fixed_vert_maximin,2,true,true,0.003607254133453816,0.003607254133453816,0.0068906979361663,233.21933921803148,1.0,20.46500015258789
fixed_vert_maximin,3,true,true,0.0036626461514185447,0.0036626461514185447,0.007007183526783155,229.69226757882782,1.0,20.25
fixed_vert_maximin,4,true,true,0.003690940025787771,0.003690940025787771,0.006965939906607774,227.93144615966537,1.0,20.552000045776367
fixed_vert_maximin,5,true,true,0.0036300381886185027,0.0036300381886185027,0.007088654081532109,231.7555368657873,1.0,23.561999797821045
fixed_vert_maximin,6,true,true,0.003529731519108429,0.003529731519108429,0.006790454591693097,238.34148082558065,1.0,19.84999990463257
fixed_vert_maximin,7,true,true,0.0037139073078325344,0.0037139073078325344,0.007028909548188395,226.52195050614068,1.0,19.871000051498413
fixed_vert_maximin,8,true,true,0.003614476966225117,0.003614476966225117,0.006813188083533725,232.75331580197232,1.0,20.34000015258789
none_vert_maximin,1,false,true,NaN,NaN,NaN,NaN,0.30337078651685395,8.174000024795532
none_vert_maximin,2,false,true,NaN,NaN,NaN,NaN,0.3111111111111111,6.435999870300293
none_vert_maximin,3,false,true,NaN,NaN,NaN,NaN,0.3111111111111111,6.705000162124634
none_vert_maximin,4,false,true,NaN,NaN,NaN,NaN,0.3111111111111111,6.338000059127808
none_vert_maximin,5,false,true,NaN,NaN,NaN,NaN,0.3111111111111111,6.426999807357788
none_vert_maximin,6,false,true,NaN,NaN,NaN,NaN,0.30337078651685395,6.327000141143799
none_vert_maximin,7,false,true,NaN,NaN,NaN,NaN,0.3111111111111111,6.2769999504089355
none_vert_maximin,8,false,true,NaN,NaN,NaN,NaN,0.32222222222222224,6.49399995803833
std_vert_maximin,1,false,true,NaN,NaN,NaN,NaN,0.2808988764044944,7.111000061035156
std_vert_maximin,2,false,true,NaN,NaN,NaN,NaN,0.4444444444444444,11.170000076293945
std_vert_maximin,3,false,true,NaN,NaN,NaN,NaN,0.9333333333333333,23.57699990272522
std_vert_maximin,4,false,true,NaN,NaN,NaN,NaN,0.8555555555555555,34.687999963760376
std_vert_maximin,5,false,true,NaN,NaN,NaN,NaN,0.4444444444444444,14.174000024795532
std_vert_maximin,6,false,true,NaN,NaN,NaN,NaN,0.9438202247191011,24.32100009918213
std_vert_maximin,7,false,true,NaN,NaN,NaN,NaN,0.5666666666666667,15.253999948501587
std_vert_maximin,8,false,true,NaN,NaN,NaN,NaN,0.5666666666666667,14.072999954223633
fixed_ball_maximin,1,true,true,0.00024180809464852742,0.00024180809464852742,0.0007630476093855707,3479.098828711296,1.0,16.74399995803833
fixed_ball_maximin,2,true,true,0.00023834046805036428,0.00023834046805036428,0.0007530988036987679,3529.719071766735,1.0,15.424000024795532
fixed_ball_maximin,3,true,true,0.00024045945815288713,0.00024045945815288713,0.0007560711858288788,3498.611510261857,1.0,15.922000169754028
fixed_ball_maximin,4,true,true,0.00024303322145327862,0.00024303322145327862,0.0007487120037568213,3461.5550775596303,1.0,16.013000011444092
fixed_ball_maximin,5,true,true,0.00023535315933474976,0.00023535315933474976,0.0007632369505664328,3574.5127814018965,1.0,16.13599991798401
fixed_ball_maximin,6,true,true,0.00023521808691076058,0.00023521808691076058,0.0007596812093677278,3576.576046829293,1.0,15.940999984741211
fixed_ball_maximin,7,true,true,0.0002453863190015856,0.0002453863190015856,0.0007605523406651511,3428.3669395626443,1.0,16.11899995803833
fixed_ball_maximin,8,true,true,0.0002365284713212637,0.0002365284713212637,0.0007306135836851291,3556.785969386994,1.0,15.911999940872192
fixed_john_maximin,1,true,true,0.0027571691332666545,0.0027571691332666545,0.005040867208883752,305.1251250867729,1.0,17.689000129699707
fixed_john_maximin,2,true,true,0.002718853444016609,0.002718853444016609,0.004987642597391628,309.4251245819755,1.0,17.236999988555908
fixed_john_maximin,3,true,true,0.0027564799707266844,0.0027564799707266844,0.005062134761573177,305.2013346438624,1.0,17.36400008201599
fixed_john_maximin,4,true,true,0.0027734130282770796,0.0027734130282770796,0.005027412600403205,303.33792553725874,1.0,18.00599980354309
fixed_john_maximin,5,true,true,0.0027218869817064884,0.0027218869817064884,0.005102085794549117,309.0799723192694,1.0,16.97100019454956
fixed_john_maximin,6,true,true,0.0026825832647116984,0.0026825832647116984,0.004999454124008426,313.608202343706,1.0,16.829999923706055
fixed_john_maximin,7,true,true,0.002794987020665006,0.002794987020665006,0.005079143691329576,300.9965817200102,1.0,16.674999952316284
fixed_john_maximin,8,true,true,0.002725891736480576,0.002725891736480576,0.004940082918831121,308.6261713511618,1.0,17.02999997138977
fixed_vert_logdet,1,false,true,NaN,NaN,NaN,NaN,0.5730337078651685,20.895999908447266
fixed_vert_logdet,2,false,true,NaN,NaN,NaN,NaN,0.5777777777777777,13.986000061035156
fixed_vert_logdet,3,false,true,NaN,NaN,NaN,NaN,0.45555555555555555,10.13100004196167
fixed_vert_logdet,4,false,true,NaN,NaN,NaN,NaN,0.45555555555555555,10.745999813079834
fixed_vert_logdet,5,true,true,0.23239338248717295,0.02087939291387379,0.050121151791859435,4.627664012218568,1.0,23.878000020980835
fixed_vert_logdet,6,false,true,NaN,NaN,NaN,NaN,0.43820224719101125,10.59000015258789
fixed_vert_logdet,7,false,true,NaN,NaN,NaN,NaN,0.5777777777777777,13.952999830245972
fixed_vert_logdet,8,true,true,0.24075821538918776,0.02052164980284808,0.05051889897858301,4.227035878540535,1.0,23.61400008201599
fixed_vert_trace,1,true,true,0.09520615914343845,0.00026089538217162776,0.007577215807288007,14.746709357914105,1.0,22.411999940872192
fixed_vert_trace,2,false,true,NaN,NaN,NaN,NaN,0.14444444444444443,3.2220001220703125
fixed_vert_trace,3,false,true,NaN,NaN,NaN,NaN,0.08888888888888889,2.7360000610351562
fixed_vert_trace,4,false,true,NaN,NaN,NaN,NaN,0.14444444444444443,4.260999917984009
fixed_vert_trace,5,false,true,NaN,NaN,NaN,NaN,0.07777777777777778,2.2100000381469727
fixed_vert_trace,6,false,true,NaN,NaN,NaN,NaN,0.06741573033707865,2.0869998931884766
fixed_vert_trace,7,true,true,0.10097888693620195,0.0002103730047884757,0.006886100555575792,15.908363452329354,1.0,21.71500015258789
fixed_vert_trace,8,false,true,NaN,NaN,NaN,NaN,0.06666666666666667,2.0939998626708984
