Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
time;q1_l;q1_r;q2_l;q2_r;ZMPx;ZMPy;CoMx;CoMy;CoMz
0;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.02;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.04;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.06;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.08;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.1;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.12;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.14;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.16;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.18;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.2;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.22;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.24;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.26;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.28;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.3;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.32;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.34;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.36;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.38;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.4;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.42;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.44;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.46;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.48;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.5;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.52;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.54;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.56;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.58;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.6;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.62;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.64;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.66;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.68;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.7;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.72;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.74;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.76;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.78;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.8;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.82;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.84;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.86;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
0.88;-0.164674839;-0.389636061;0.631765747;0.655449348;0.217042655;1.133419059;0.189517096;1.159469042;0.20487782
