time,angle,angular_velocity
0,0.0,-5.1872146410435636e-36
1,0.0785143870198306,0.48191017077607357
2,0.2508908603499722,0.587165913051899
3,0.3797316381303104,0.21816507761305884
4,0.20893795228398648,-1.2664716120258324
5,-0.2809592361201867,-1.7686613773469138
6,-0.7069483452516021,-0.9030393329120443
7,-0.753691072252372,0.5994880328105654
8,-0.23077117950986636,2.656499011405082
9,0.624440476505463,2.6640189973326676
10,1.178470921051371,0.8723098860516305
11,0.9563735443781365,-2.2949379792708466
12,-0.0786812679253579,-4.169461316726708
13,-1.211326980071874,-2.9763397820432185
14,-1.7572321381394398,-0.6394009452475915
15,-1.5587498056989297,1.9711133133680392
16,-0.4723669910504862,5.00000005
17,1.0805181257376155,4.718495054863389
18,2.1602158777862064,2.5015781390489584
19,2.684548673022638,1.2097335044882014
20,2.879793236992711,0.20000001
