time,angle,angular_velocity
0,0.0,2.0111973658600075e-37
1,0.07556027210585148,0.46377462922886775
2,0.24412280546757748,0.5814341824246094
3,0.37519535409318694,0.23746570648534965
4,0.3573776896613712,-0.3431924679972499
5,0.045554278032533535,-1.5814902421561037
6,-0.45904635794682624,-1.5548013562203182
7,-0.7627094098149483,-0.36076747342519516
8,-0.49307391786719457,2.0398629100009638
9,0.30882990133814125,2.934588128857239
10,1.033037028457156,1.63656738694517
11,1.2009916396115639,-0.5488353051376345
12,0.5689323650104514,-3.4655569017252987
13,-0.6280539346276077,-3.9813393534396044
14,-1.5495127868329162,-1.9609193746608231
15,-1.7261659881899256,0.7766062859283014
16,-0.9715170471970795,4.173387901120116
17,0.5574997310394543,5.372090246119257
18,1.8928765030177548,3.3150839938845524
19,2.6128622307933655,1.726632988984859
20,2.879793236992711,0.20000001
