Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
0.0,-9.710995236267613e-9,-9.710995236267613e-9,2.1073424255447017e-8,2.1073424255447017e-8,0.0,1.18,0.0,1.18,0.21902787835056647
0.02,-0.003043445847551849,-0.003043445847551849,0.0066044564624389325,0.0066044564624389325,0.0,1.18,0.0,1.1799924669179411,0.21902657350078777
0.04,-0.006078751519090126,-0.006078751519090126,0.01319126037726802,0.01319126037726802,0.0,1.18,0.0,1.1799480387705792,0.2190226729070644
0.06,-0.009105903413589782,-0.009105903413589782,0.019760394159833803,0.019760394159833803,0.0,1.18,0.0,1.1798658970111071,0.21901619750281515
0.08,-0.012124887795700619,-0.012124887795700619,0.026311839742453415,0.026311839742453415,0.0,1.18,0.0,1.1797649233314915,0.219007168221459
0.1,-0.015135690794797475,-0.015135690794797475,0.03284557857424503,0.03284557857424503,0.0,1.18,0.0,1.1796654482799525,0.2189956059964148
0.12,-0.01813829840407674,-0.01813829840407674,0.0393615916210572,0.0393615916210572,0.0,1.18,0.0,1.179581642626597,0.21898153176110152
0.14,-0.021132696479581905,-0.021132696479581905,0.04585985936515695,0.04585985936515695,0.0,1.18,0.0,1.1795202014842847,0.21896496644893806
0.16,-0.024118870739250394,-0.024118870739250394,0.05234036180493769,0.05234036180493769,0.0,1.18,0.0,1.1794819307371887,0.21894593099334328
0.18,-0.02709680676194195,-0.02709680676194195,0.05880307845452945,0.05880307845452945,0.0,1.18,0.0,1.1794640993571002,0.21892444632773614
0.2,-0.03006648998658867,-0.03006648998658867,0.06524798834363292,0.06524798834363292,0.0,1.18,0.0,1.1794624814707588,0.21890053338553553
0.22,-0.03302790571117627,-0.03302790571117627,0.07167507001692988,0.07167507001692988,0.0,1.18,0.0,1.1794727241598884,0.2188742131001604
0.24,-0.0359810390918754,-0.0359810390918754,0.07808430153378704,0.07808430153378704,0.0,1.18,0.0,1.1794910644974783,0.2188455064050296
0.26,-0.03892587514211111,-0.03892587514211111,0.08447566046777383,0.08447566046777383,0.0,1.18,0.0,1.1795145739870325,0.21881443423356203
0.28,-0.04186239873163544,-0.04186239873163544,0.09084912390614515,0.09084912390614515,0.0,1.18,0.0,1.1795411273431624,0.21878101751917667
0.3,-0.044790594585628535,-0.044790594585628535,0.0972046684493419,0.0972046684493419,0.0,1.18,0.0,1.179569250099254,0.21874527719529238
0.32,-0.04771044728379421,-0.04771044728379421,0.10354227021044214,0.10354227021044214,0.0,1.18,0.0,1.1795979423843468,0.21870723419532806
0.34,-0.05062194125944059,-0.05062194125944059,0.10986190481453632,0.10986190481453632,0.0,1.18,0.0,1.179626527449438,0.21866690945270265
0.36,-0.053525060798602725,-0.053525060798602725,0.11616354739815016,0.11616354739815016,0.0,1.18,0.0,1.1796545406236274,0.21862432390083505
0.38,-0.056419790039121315,-0.056419790039121315,0.12244717260854164,0.12244717260854164,0.0,1.18,0.0,1.1796816564437185,0.21857949847314417
0.4,-0.05930611296975643,-0.05930611296975643,0.12871275460302586,0.12871275460302586,0.0,1.18,0.0,1.1797076445671335,0.21853245410304892
0.42,-0.06218401342929183,-0.06218401342929183,0.1349602670482484,0.1349602670482484,0.0,1.18,0.0,1.1797323442809042,0.21848321172396817
0.44,-0.0650534751056413,-0.0650534751056413,0.14118968311942412,0.14118968311942412,0.0,1.18,0.0,1.1797556494937154,0.21843179226932088
0.46,-0.06791448153494933,-0.06791448153494933,0.14740097549952633,0.14740097549952633,0.0,1.18,0.0,1.1797774988707468,0.21837821667252597
0.48,-0.07076701610071108,-0.07076701610071108,0.1535941163784836,0.1535941163784836,0.0,1.18,0.0,1.1797978681571446,0.2183225058670023
0.5,-0.07361106203286091,-0.07361106203286091,0.15976907745227312,0.15976907745227312,0.0,1.18,0.0,1.1798167633775392,0.2182646807861688
0.52,-0.07644660240690013,-0.07644660240690013,0.16592582992206542,0.16592582992206542,0.0,1.18,0.0,1.1798342145321503,0.21820476236344438
0.54,-0.0792736201429895,-0.0792736201429895,0.17206434449325808,0.17206434449325808,0.0,1.18,0.0,1.1798502698259952,0.21814277153224798
0.56,-0.08209209800506141,-0.08209209800506141,0.17818459137452156,0.17818459137452156,0.0,1.18,0.0,1.1798649905746472,0.21807872922599844
0.58,-0.08490201859991779,-0.08490201859991779,0.1842865402767786,0.1842865402767786,0.0,1.18,0.0,1.1798784468907724,0.21801265637811473
0.6,-0.08770336437634356,-0.08770336437634356,0.19037016041218868,0.19037016041218868,0.0,1.18,0.0,1.1798907141734731,0.21794457392201574
0.62,-0.09049611762419904,-0.09049611762419904,0.1964354204930555,0.1964354204930555,0.0,1.18,0.0,1.179901870349853,0.21787450279112036
0.64,-0.09328026047351456,-0.09328026047351456,0.20248228873070803,0.20248228873070803,0.0,1.18,0.0,1.1799119937735336,0.21780246391884753
0.66,-0.09605577489360136,-0.09605577489360136,0.20851073283438762,0.20851073283438762,0.0,1.18,0.0,1.1799211616678125,0.21772847823861613
0.68,-0.0988226426921246,-0.0988226426921246,0.2145207200100244,0.2145207200100244,0.0,1.18,0.0,1.1799294490038368,0.2176525666838451
