Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
0.0,-9.710993202687197e-9,-9.710993202687197e-9,2.1073424255447017e-8,2.1073424255447017e-8,-7.590338906473724e-16,1.18,0.0,1.18,0.2184468963119319
0.02,-0.015135690794795468,-0.015135690794795468,0.03284557857424503,0.03284557857424503,-7.590338906473724e-16,1.18,-9.80551709439544e-18,1.1799924728856241,0.21841526568415773
0.04,-0.030066489986586818,-0.030066489986586818,0.06524798834363292,0.06524798834363292,-7.590338906473724e-16,1.18,-6.820259668534719e-17,1.1799480795209956,0.2183220835644987
0.06,-0.04479059458562698,-0.04479059458562698,0.0972046684493419,0.0972046684493419,-7.590338906473724e-16,1.18,-1.7903206484347648e-16,1.1798660001743682,0.21816991459845
0.08,-0.05930611296975525,-0.05930611296975525,0.12871275460302586,0.12871275460302586,-7.590338906473724e-16,1.18,-3.2055225758245494e-16,1.1797651006065242,0.21796132343150687
0.1,-0.07361106203286014,-0.07361106203286014,0.15976907745227312,0.15976907745227312,-7.590338906473724e-16,1.18,-4.677142103117576e-16,1.179665696095302,0.21769887470916446
0.12,-0.08770336437634314,-0.08770336437634314,0.19037016041218868,0.19037016041218868,-7.590338906473724e-16,1.18,-6.01957364744747e-16,1.179581948157375,0.217385133076918
0.14,-0.10158084551420839,-0.10158084551420839,0.22051221695905485,0.22051221695905485,-7.590338906473724e-16,1.18,-7.133866256465935e-16,1.1795205486665552,0.2170226631802627
0.16,-0.11524123106340621,-0.11524123106340621,0.25019114737873327,0.25019114737873327,-7.590338906473724e-16,1.18,-7.9927018003469e-16,1.1794823042832163,0.21661402966469376
0.18,-0.12868214389155344,-0.12868214389155344,0.27940253495897815,0.27940253495897815,-7.590338906473724e-16,1.18,-8.614205879519373e-16,1.1794645122113734,0.21616179717570633
0.2,-0.14190110119426058,-0.14190110119426058,0.3081416416112944,0.3081416416112944,-7.590338906473724e-16,1.18,-9.03802446821554e-16,1.1794630787858447,0.21566853035879568
0.22,-0.1548955114738918,-0.1548955114738918,0.3364034029040307,0.3364034029040307,-7.590338906473724e-16,1.18,-9.308639978586875e-16,1.179473805577431,0.21513679385945703
0.24,-0.16766267139083368,-0.16766267139083368,0.3641824224843445,0.3641824224843445,-7.590338906473724e-16,1.18,-9.466129590378556e-16,1.1794930428083423,0.2145691523231855
0.26,-0.1801997624571163,-0.1801997624571163,0.3914729658621381,0.3914729658621381,-7.590338906473724e-16,1.18,-9.542537053581314e-16,1.1795179226442363,0.21396817039547633
0.28,-0.1925038475406056,-0.1925038475406056,0.4182689535241881,0.4182689535241881,-7.590338906473724e-16,1.18,-9.561650133089349e-16,1.1795463410391778,0.21333641272182474
0.3,-0.20457186714592898,-0.20457186714592898,0.4445639533413463,0.4445639533413463,-7.590338906473724e-16,1.18,-9.540379900908592e-16,1.1795768248674101,0.21267644394772592
0.32,-0.21640063543571883,-0.21640063543571883,0.4703511722256201,0.4703511722256201,-7.590338906473724e-16,1.18,-9.490565538506292e-16,1.1796083727823587,0.21199082871867508
0.34,-0.22798683595283362,-0.22798683595283362,0.49562344698751243,0.49562344698751243,-7.590338906473724e-16,1.18,-9.420589831707319e-16,1.1796403154065869,0.21128213168016743
0.36,-0.23932701700060383,-0.23932701700060383,0.5203732343364015,0.5203732343364015,-7.590338906473724e-16,1.18,-9.336582354881242e-16,1.1796722107694713,0.21055291747769814
0.38,-0.2504175866341395,-0.2504175866341395,0.5445925999585988,0.5445925999585988,-7.590338906473724e-16,1.18,-9.243209150216608e-16,1.1797037742470167,0.20980575075676244
0.4,-0.2612548072110225,-0.2612548072110225,0.5682732065983048,0.5682732065983048,-7.590338906473724e-16,1.18,-9.144142365200297e-16,1.1797348352724653,0.20904319616285552
0.42,-0.2718347894443507,-0.2718347894443507,0.5914063010561125,0.5914063010561125,-7.590338906473724e-16,1.18,-9.042320814639656e-16,1.1797653119334774,0.2082678183414726
0.44,-0.28215348589502415,-0.28215348589502415,0.6139827000077529,0.6139827000077529,-7.590338906473724e-16,1.18,-8.940093126541977e-16,1.1797951961728217,0.20748218193810886
0.46,-0.29220668383322035,-0.29220668383322035,0.6359927745321032,0.6359927745321032,-7.590338906473724e-16,1.18,-8.839305146661586e-16,1.1798245446824744,0.20668885159825948
0.48,-0.3019899973911455,-0.3019899973911455,0.657426433221907,0.657426433221907,-7.590338906473724e-16,1.18,-8.741366226597817e-16,1.1798534727014098,0.20589039196741973
0.5,-0.3114988589202217,-0.3114988589202217,0.6782731037328361,0.6782731037328361,-7.590338906473724e-16,1.18,-8.647309861716054e-16,1.1798821494288707,0.20508936769108477
0.52,-0.32072850945570713,-0.32072850945570713,0.6985217126060257,0.6985217126060257,-7.590338906473724e-16,1.18,-8.557852974585637e-16,1.1799107946484089,0.2042883434147498
0.54,-0.32967398818019195,-0.32967398818019195,0.7181606631756471,0.7181606631756471,-7.590338906473724e-16,1.18,-8.473453001751842e-16,1.179939676577509,0.20348988378391006
0.56,-0.33833012076423485,-0.33833012076423485,0.7371778113458763,0.7371778113458763,-7.590338906473724e-16,1.18,-8.394360517013523e-16,1.1799691110926565,0.20269655344406068
0.58,-0.3466915064472783,-0.3466915064472783,0.7555604389900199,0.7555604389900199,-7.590338906473724e-16,1.18,-8.320665524662657e-16,1.1799994624756849,0.20191091704069697
0.6,-0.35475250370468586,-0.35475250370468586,0.7732952246879957,0.7732952246879957,-7.590338906473724e-16,1.18,-8.252336546992964e-16,1.1800311457792776,0.201135539219314
0.62,-0.3625072143267423,-0.3625072143267423,0.7903682114756263,0.7903682114756263,-7.590338906473724e-16,1.18,-8.189252559415084e-16,1.1800646308686784,0.2003729846254071
0.64,-0.36994946571234655,-0.36994946571234655,0.8067647712293157,0.8067647712293157,-7.590338906473724e-16,1.18,-8.131228446734899e-16,1.180100448183594,0.1996258179044714
0.66,-0.37707279115325154,-0.37707279115325154,0.8224695652511578,0.8224695652511578,-7.590338906473724e-16,1.18,-8.078034948343204e-16,1.180139196282343,0.1988966037020021
0.68,-0.3838704078532955,-0.3838704078532955,0.8374665005506232,0.8374665005506232,-7.590338906473724e-16,1.18,-8.029414109860912e-16,1.1801815512748954,0.19818790666349442
0.7,-0.3903351923902058,-0.3903351923902058,0.8517386812376062,0.8517386812376062,-7.590338906473724e-16,1.18,-7.98509116536822e-16,1.1802282783142986,0.1975022914344436
0.72,-0.39645965328403826,-0.39645965328403826,0.8652683543451364,0.8652683543451364,-7.590338906473724e-16,1.18,-7.944783620648988e-16,1.1802802453858006,0.19684232266034477
0.74,-0.40223590028466744,-0.40223590028466744,0.8780368492851722,0.8780368492851722,-7.590338906473724e-16,1.18,-7.908208147574333e-16,1.1803384396931558,0.19621056498669318
0.76,-0.4076556099291303,-0.4076556099291303,0.8900245100036055,0.8900245100036055,-7.590338906473724e-16,1.18,-7.875085760156277e-16,1.1804039869676453,0.19560958305898404
0.78,-0.4127099868456597,-0.4127099868456597,0.9012106187356597,0.9012106187356597,-7.590338906473724e-16,1.18,-7.845145632858565e-16,1.1804781739842076,0.19504194152271254
0.8,-0.41738972019200893,-0.41738972019200893,0.9115733100639549,0.9115733100639549,-7.590338906473724e-16,1.18,-7.818127840039113e-16,1.1805624744250047,0.19451020502337382
0.82,-0.42168493450730515,-0.42168493450730515,0.9210894737402482,0.9210894737402482,-7.590338906473724e-16,1.18,-7.793785236172592e-16,1.18065857796186,0.1940169382064632
0.84,-0.4255851341243578,-0.4255851341243578,0.9297346444378453,0.9297346444378453,-7.590338906473724e-16,1.18,-7.771884653351924e-16,1.18076842206056,0.1935647057174758
0.86,-0.4290791401267949,-0.4290791401267949,0.937482876241328,0.937482876241328,-7.590338906473724e-16,1.18,-7.75220756015818e-16,1.1808942256655142,0.19315607220190684
0.88,-0.4321550186344432,-0.4321550186344432,0.9443065992359682,0.9443065992359682,-7.590338906473724e-16,1.18,-7.734550300553796e-16,1.1810385238886774,0.19279360230525153
0.9,-0.43479999895034077,-0.43479999895034077,0.9501764550080477,0.9501764550080477,-7.590338906473724e-16,1.18,-7.718724010643314e-16,1.1812042036056711,0.19247986067300507
